代码	    名称	市盈(动)	市净率	总市值
SZ300559	佳发教育	78.15	4.19	5065844700
SZ300560	中富通	159.9	3.54	3432369700
SZ300561	*ST汇科	2195	7.41	4445863100
SZ300562	乐心医疗	32.18	2.78	2817930400
SZ300563	神宇股份	77	4.96	5473202600
SZ300564	筑博设计		1.98	2392304400
SZ300565	科信技术		6.28	3533320300
SZ300566	激智科技	20.35	2.16	4534410000
SZ300567	精测电子	263.5	9.95	35164014000
SZ300568	星源材质	548	2.02	19929975000
SZ300569	天能重工	62.05	1.34	6954477100
SZ300570	太辰光	81.79	14.32	24452479000
SZ300571	平治信息	452	3.08	4478858200
SZ300572	安车检测		3.57	6329250800
SZ300573	兴齐眼药	20.31	8.69	16215063000
SZ300575	中旗股份		1.48	2919193500
SZ300576	容大感光	93.31	7.27	12306286700
SZ300577	开润股份	11.75	1.99	4348231200
SZ300578	会畅科技	292.7	3.33	3963412100
SZ300579	数字认证		9.08	7284600000
SZ300580	贝斯特	40.47	3.42	11252029900
SZ300581	晨曦航空		7.48	7145923000
SZ300582	英飞特		3.08	4083979200
SZ300583	赛托生物		1.52	2682388100
SZ300584	海辰药业	121.4	5.07	5289600000
SZ300585	奥联电子	614.9	3.83	2729222200
SZ300586	美联新材		3.54	6514744500
SZ300587	天铁科技		2.95	7075564900
SZ300588	熙菱信息		16.37	4484251500
SZ300589	江龙船艇		7.67	6027581200
SZ300590	移为通信	69.9	2.86	5252258300
SZ300591	万里马		11.29	2868113600
SZ300592	华凯易佰	71.39	2.04	4702723900
SZ300593	新雷能		5.17	12336415200
SZ300594	朗进科技		3.22	2656980200
SZ300595	欧普康视	26.38	2.58	12650435300
SZ300596	利安隆	18.04	1.98	9432775900
SZ300597	吉大通信		2.6	2455856000
SZ300598	诚迈科技		5.35	7930682600
SZ300599	雄塑科技		1.65	3280485200
SZ300600	国瑞科技		3	3666161600
SZ300601	康泰生物	237	1.71	15536493000
SZ300602	飞荣达	45.32	4.36	17292981000
SZ300603	立昂技术		3.87	5428843300
SZ300604	长川科技	66.56	17.75	76796373000
SZ300605	恒锋信息	166.6	4.84	2316900800
SZ300606	金太阳	168.9	7	4723194800
SZ300607	拓斯达	161.9	4.17	11957698400
SZ300608	思特奇		2.66	3554201700
SZ300609	汇纳科技		4.06	4041849100
SZ300610	晨化股份	33.89	2.07	2386588600
SZ300611	美力科技	38.31	4.85	5964970500
SZ300612	宣亚国际		5.47	2683358400
SZ300613	富瀚微	84.08	3.34	9195790400
SZ300614	百川畅银		1.97	2088937600
SZ300615	欣天科技		5.23	2643375500
SZ300616	尚品宅配		0.855	2689701400
SZ300617	安靠智电	93.86	3.17	9238202300
SZ300618	寒锐钴业	40.33	2.29	12815265600
SZ300619	金银河	435.6	4.35	6864286500
SZ300620	光库科技	251.1	20.44	44361612000
SZ300621	维业股份		1.96	1687339800
SZ300622	博士眼镜	44.75	6.18	5240645700
SZ300623	捷捷微电	47.89	3.75	22149967000
SZ300624	万兴科技		12.17	13144936700
SZ300625	三雄极光		1.59	3153647000
SZ300626	华瑞股份	191.9	6.6	3493800000
SZ300627	华测导航	38.44	6.21	26172043000
SZ300628	亿联网络	15.95	4.45	41472769000
SZ300629	新劲刚	382.8	3.37	5729939800
SZ300631	久吾高科	49.72	2.46	3217367300
SZ300632	光莆股份	68.39	2.25	4031449200
SZ300633	开立医疗	247.5	3.55	11060129100
SZ300634	彩讯股份	40.83	3.67	10689186200
SZ300635	中达安	1472	5.1	1923792400
SZ300636	同和药业	30.68	1.44	3422604700
SZ300637	扬帆新材	63.13	3.52	2579903900
